tipo_frete;peso;valor_total_pedido;data;abreviatura_uf;regiao;grupo_gerencial_produto;conta_numero_pedido_vendedor
CIF;0;0;14/02/2023 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;02/03/2023 00:00;SP;Sudeste;PORTA PALLET;1
CIF;0;0;14/04/2023 00:00;PR;Sul;PORTA PALLET;1
CIF;0;0;01/11/2022 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;21/11/2022 00:00;MT;Centro-Oeste;PORTA PALLET;1
CIF;0;0;10/05/2023 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;17/02/2023 00:00;RS;Sul;PORTA PALLET;1
CIF;0;0;23/03/2023 00:00;SC;Sul;PORTA PALLET;1
CIF;0;0;14/04/2023 00:00;AM;Norte;PORTA PALLET;1
CIF;0;0;02/05/2023 00:00;EX;Exterior;PORTA PALLET;1
CIF;0;0;31/01/2023 00:00;PI;Nordeste;PORTA PALLET;1
CIF;0;0;01/03/2023 00:00;PR;Sul;PORTA PALLET;1
CIF;0;0;14/03/2023 00:00;MS;Centro-Oeste;PORTA PALLET;1
CIF;0;0;20/03/2023 00:00;RJ;Sudeste;PORTA PALLET;1
CIF;0;0;23/01/2020 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;18/03/2020 00:00;SP;Sudeste;PUSH BACK;1
CIF;0;0;09/05/2020 00:00;PR;Sul;SERVICOS;1
CIF;0;0;26/06/2020 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;31/08/2020 00:00;RS;Sul;SERVICOS;1
CIF;0;0;04/09/2020 00:00;ES;Sudeste;CARRO SATELITE;1
CIF;0;0;27/10/2020 00:00;GO;Centro-Oeste;SERVICOS;1
CIF;0;0;30/10/2020 00:00;RS;Sul;DRIVE IN;1
CIF;0;0;05/10/2020 00:00;RS;Sul;DRIVE IN;1
CIF;0;0;14/10/2020 00:00;SP;Sudeste;AUTOMACAO;1
CIF;0;0;23/10/2020 00:00;MG;Sudeste;CARRO SATELITE;1
CIF;0;0;30/10/2020 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;04/11/2020 00:00;PE;Nordeste;CANTILEVER;1
CIF;0;0;05/11/2020 00:00;RS;Sul;CANTILEVER;1
CIF;0;0;25/11/2020 00:00;SP;Sudeste;SERVICOS;1
CIF;0;0;07/12/2020 00:00;SP;Sudeste;DINAMICO;1
CIF;0;0;07/12/2020 00:00;SP;Sudeste;DRIVE IN;1
CIF;0;0;07/12/2020 00:00;SP;Sudeste;MEZANINO;1
CIF;0;0;19/01/2021 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;02/02/2021 00:00;SC;Sul;DRIVE IN;1
CIF;0;0;20/08/2020 00:00;PR;Sul;DINAMICO;1
CIF;0;0;28/08/2020 00:00;MO;Exterior;DRIVE IN;1
CIF;0;0;07/12/2020 00:00;SP;Sudeste;PASSARELA;1
CIF;0;0;04/01/2021 00:00;MG;Sudeste;DRIVE IN;1
CIF;0;0;01/02/2021 00:00;SC;Sul;SERVICOS;1
